color_a,color_b,shared_paintings
#b1d4ba,#d4b1ba,1
#b1d4ba,#2a2523,6
#b1d4ba,#152a1a,2
#b1d4ba,#668016,3
#b1d4ba,#2a0710,1
#b1d4ba,#1a2a15,3
#b1d4ba,#212a07,2
#b1d4ba,#252a15,8
#b1d4ba,#2a151a,1
#b1d4ba,#2a2325,1
#b1d4ba,#163180,3
#b1d4ba,#405080,3
#1a2a15,#508040,9
#1a2a15,#668016,4
#1a2a15,#708040,29
#1a2a15,#70806b,12
#1a2a15,#bad46a,1
#1a2a15,#cbd4b1,15
#1a2a15,#252a15,29
#1a2a15,#2a2107,8
#1a2a15,#2a2515,12
#1a2a15,#212a07,9
#1a2a15,#807040,20
#1a2a15,#152a1a,15
#1a2a15,#152a25,7
#1a2a15,#807b6b,14
#1a2a15,#d4cbb1,21
#1a2a15,#805040,5
#1a2a15,#232a25,3
#1a2a15,#806616,3
#1a2a15,#bab1d4,3
#1a2a15,#d4ba6a,11
#1a2a15,#bad4b1,4
#1a2a15,#15252a,2
#1a2a15,#407080,2
#1a2a15,#6abad4,1
#1a2a15,#b1cbd4,7
#1a2a15,#b1d4cb,5
#1a2a15,#6b7080,2
#1a2a15,#151a2a,1
#1a2a15,#80706b,2
#1a2a15,#d45124,1
#1a2a15,#d4856a,2
#1a2a15,#803116,1
#1a2a15,#405080,1
#1a2a15,#6b7b80,4
#1a2a15,#6a85d4,1
#1a2a15,#6b807b,2
#1a2a15,#232a28,1
#15252a,#407080,30
#15252a,#6abad4,4
#15252a,#807040,24
#15252a,#b1d4cb,5
#15252a,#d4ba6a,19
#15252a,#d4cbb1,46
#15252a,#bad4b1,1
#15252a,#cbd4b1,9
#15252a,#405080,18
#15252a,#6a85d4,9
