node_id,node_type,label,degree
painting::Artists2/Francesco Guardi/The Doge At The Basilica Of La Salute 1770.jpg,painting,The Doge At The Basilica Of La Salute 1770,7
painting::Artists2/Francesco Guardi/The Coronation Of The Doge 1770.jpg,painting,The Coronation Of The Doge 1770,6
painting::Artists2/Francesco Guardi/Piazza San Marco Venice.jpg,painting,Piazza San Marco Venice,10
painting::Artists2/Francesco Guardi/Departure Of The Bucentaur Towards The Venice Lido On Ascension Day 1770.jpg,painting,Departure Of The Bucentaur Towards The Venice Lido On Ascension Day 1770,5
painting::Artists2/Aleksey Antropov/Portrait Of Elizabeth Of Russia.jpg,painting,Portrait Of Elizabeth Of Russia,5
painting::Artists2/Aleksey Antropov/Portrait Of Brigadier Michael Dmitrievich Buturlin.jpg,painting,Portrait Of Brigadier Michael Dmitrievich Buturlin,4
painting::Artists2/Aleksey Antropov/Portrait Of A Mistress Agrippina Leontyevna Apraksina.jpg,painting,Portrait Of A Mistress Agrippina Leontyevna Apraksina,4
painting::Artists2/Aleksey Antropov/Countess Anna Vorontsova.jpg,painting,Countess Anna Vorontsova,8
painting::Artists2/Aleksey Antropov/Archbishop Sylvester Kuliabka.jpg,painting,Archbishop Sylvester Kuliabka,5
painting::Artists2/Aleksey Antropov/Portrait Of An Unknown Woman 1790.jpg,painting,Portrait Of An Unknown Woman 1790,8
painting::Artists2/Aleksey Antropov/Self Portrait.jpg,painting,Self Portrait,5
color::#2a0721,color,#2a0721,33
painting::Artists2/Aleksey Antropov/Portrait Of Archbishop Gavriil Petrov.jpg,painting,Portrait Of Archbishop Gavriil Petrov,7
painting::Artists2/Aleksey Antropov/Portrait Of Tsar Peter I The Great 1672 1725 1772.jpg,painting,Portrait Of Tsar Peter I The Great 1672 1725 1772,6
painting::Artists2/Francesco Guardi/Carnival Thursday On The Piazzetta 1770.jpg,painting,Carnival Thursday On The Piazzetta 1770,6
painting::Artists2/Francesco Guardi/Audience Granted By The Doge 1770.jpg,painting,Audience Granted By The Doge 1770,6
painting::Artists2/Francesco Guardi/The Piazza San Marco Towards The Basilica 1765.jpg,painting,The Piazza San Marco Towards The Basilica 1765,6
painting::Artists2/Francesco Guardi/The Grand Canal Looking Toward The Rialto Bridge.jpg,painting,The Grand Canal Looking Toward The Rialto Bridge,5
painting::Artists2/Francesco Guardi/The Grand Canal At The Fish Market Pescheria.jpg,painting,The Grand Canal At The Fish Market Pescheria,7
painting::Artists2/Francesco Guardi/The Rialto Bridge With The Palazzo Dei Camerlenghi.jpg,painting,The Rialto Bridge With The Palazzo Dei Camerlenghi,9
painting::Artists2/Francesco Guardi/Campo Santi Giovanni E Paolo 1763.jpg,painting,Campo Santi Giovanni E Paolo 1763,8
painting::Artists2/Francesco Guardi/The Molo And The Riva Degli Schiavoni From The Bacino Di San Marco 1.jpg,painting,The Molo And The Riva Degli Schiavoni From The Bacino Di San Marco 1,3
painting::Artists2/Francesco Guardi/The Molo And The Riva Degli Schiavoni From The Bacino Di San Marco.jpg,painting,The Molo And The Riva Degli Schiavoni From The Bacino Di San Marco,7
painting::Artists2/Francesco Guardi/San Cristoforo San Michele And Murano Seen From The Fondamenta Nuove 1760.jpg,painting,San Cristoforo San Michele And Murano Seen From The Fondamenta Nuove 1760,5
painting::Artists2/Francesco Guardi/Piazza San Marco.jpg,painting,Piazza San Marco,11
painting::Artists2/Francesco Guardi/Capriccio With Venetian Motifs.jpg,painting,Capriccio With Venetian Motifs,9
painting::Artists2/Francesco Guardi/The Lagoon From The Fondamenta Nuove.jpg,painting,The Lagoon From The Fondamenta Nuove,9
painting::Artists2/Francesco Guardi/The Giudecca Canal With The Zattere.jpg,painting,The Giudecca Canal With The Zattere,8
painting::Artists2/Francesco Guardi/The Piazzetta Looking Toward San Giorgio Maggiore.jpg,painting,The Piazzetta Looking Toward San Giorgio Maggiore,5
painting::Artists2/Francesco Guardi/The Lagoon With Boats Gondolas And Rafts.jpg,painting,The Lagoon With Boats Gondolas And Rafts,3
painting::Artists2/Francesco Guardi/Nighttime Procession In Piazza San Marco.jpg,painting,Nighttime Procession In Piazza San Marco,7
painting::Artists2/Francesco Guardi/Masked Meeting.jpg,painting,Masked Meeting,6
painting::Artists2/Francesco Guardi/The Parlour Of The San Zaccaria Convent 1750.jpg,painting,The Parlour Of The San Zaccaria Convent 1750,8
painting::Artists2/Aleksey Antropov/Portrait Of Tsar Peter I.jpg,painting,Portrait Of Tsar Peter I,7
painting::Artists2/Aleksey Antropov/Portrait Of Grand Duchess Catherine Alekseevna Future Empress Catherine Ii The Great 1770.jpg,painting,Portrait Of Grand Duchess Catherine Alekseevna Future Empress Catherine Ii The Great 1770,4
painting::Artists2/Aleksey Antropov/Portrait Of Catherine Ii The Great.jpg,painting,Portrait Of Catherine Ii The Great,7
painting::Artists2/Aleksey Antropov/Portrait Of Catherine Ii 1.jpg,painting,Portrait Of Catherine Ii 1,9
painting::Artists2/Aleksey Antropov/Portrait Of General In Chief Count William W Fermor.jpg,painting,Portrait Of General In Chief Count William W Fermor,4
painting::Artists2/Aleksey Antropov/Portrait Of Countess M A Rumyantzeva.jpg,painting,Portrait Of Countess M A Rumyantzeva,9
