path,author_name,painting_name,image_url,x,y
Artists2/Fernand Leger/Breakfast 1921.jpg,Fernand Leger,Breakfast 1921,https://uploads8.wikiart.org/images/fernand-leger/breakfast-1921.jpg!Large.jpg,0.005963510055263906,-0.0053429007635971085
Artists2/Fernand Leger/Builder Character In The Framework.jpg,Fernand Leger,Builder Character In The Framework,https://uploads1.wikiart.org/images/fernand-leger/builder-character-in-the-framework.jpg!Large.jpg,-0.042376695357255044,0.008251042168019798
Artists2/Fernand Leger/Butterflies Still Life With Butterflies 1948.jpg,Fernand Leger,Butterflies Still Life With Butterflies 1948,https://uploads2.wikiart.org/images/fernand-leger/butterflies-still-life-with-butterflies-1948.jpg!Large.jpg,0.0011227979250141716,-0.04442766873175019
Artists2/Fernand Leger/Characters In The Truck.jpg,Fernand Leger,Characters In The Truck,https://uploads8.wikiart.org/images/fernand-leger/characters-in-the-truck.jpg!Large.jpg,-0.04200966749743781,0.00818053147741948
Artists2/Fernand Leger/Children In The Bird 1953.jpg,Fernand Leger,Children In The Bird 1953,https://uploads1.wikiart.org/images/fernand-leger/children-in-the-bird-1953.jpg!Large.jpg,1.844228811953446e-05,-0.004687617614932197
Artists2/Fernand Leger/Chimneys On Rooftops 1911.jpg,Fernand Leger,Chimneys On Rooftops 1911,https://uploads1.wikiart.org/images/fernand-leger/chimneys-on-rooftops-1911.jpg!Large.jpg,-0.021231631307921193,-0.010931483653337716
Artists2/Fernand Leger/Church Sancellemoz Assy 1947.jpg,Fernand Leger,Church Sancellemoz Assy 1947,https://uploads4.wikiart.org/images/fernand-leger/church-sancellemoz-assy-1947.jpg!Large.jpg,-0.05758259805437152,0.014261167930433836
Artists2/Fernand Leger/Clouds.jpg,Fernand Leger,Clouds,https://uploads8.wikiart.org/images/fernand-leger/clouds.jpg,-0.06342456671059024,0.011341577125922977
Artists2/Fernand Leger/Coffee.jpg,Fernand Leger,Coffee,https://uploads0.wikiart.org/images/fernand-leger/coffee.jpg!Large.jpg,-0.09047998035883469,0.0167439416126126
Artists2/Fernand Leger/Composition At Pitcher 1918.jpg,Fernand Leger,Composition At Pitcher 1918,https://uploads3.wikiart.org/images/fernand-leger/composition-at-pitcher-1918.jpg!Large.jpg,0.00266172013738398,-0.025591167049285567
Artists2/Fernand Leger/Composition Dominoes.jpg,Fernand Leger,Composition Dominoes,https://uploads4.wikiart.org/images/fernand-leger/composition-dominoes.jpg,-0.004782441808888355,-0.012719533692851916
Artists2/Fernand Leger/Composition In Two Birds Landscape With Birds 1954.jpg,Fernand Leger,Composition In Two Birds Landscape With Birds 1954,https://uploads7.wikiart.org/images/fernand-leger/composition-in-two-birds-landscape-with-birds-1954.jpg,-0.003138727350829008,-0.006909611669262579
Artists2/Fernand Leger/Composition In Yellow Bottle.jpg,Fernand Leger,Composition In Yellow Bottle,https://uploads4.wikiart.org/images/fernand-leger/composition-in-yellow-bottle.jpg!Large.jpg,0.005131085307033881,-0.041404085893080436
