source,target,weight
#d4a824,#d45124,21
#d4a824,#708040,3
#d4a824,#2a2325,3
#d4a824,#2a2523,11
#d4a824,#cbd4b1,7
#d4a824,#25232a,3
#d4a824,#2a0710,3
#d4a824,#801631,1
#d4a824,#d4856a,15
#d4a824,#2a2823,4
#d4a824,#07102a,2
#d4a824,#151a2a,3
#d4a824,#2a1525,2
#d4a824,#80706b,3
#d4a824,#1a152a,2
#d4a824,#28232a,2
#d4a824,#2a2328,2
#d4a824,#152a25,1
#d4a824,#15252a,1
#d4a824,#6b7b80,1
#d4a824,#252a15,5
#d4a824,#70806b,1
#d4a824,#b1d4cb,1
#d4a824,#152a1a,1
#d4a824,#1a2a15,1
#d4a824,#212a07,1
#d4a824,#b1cbd4,1
#d4a824,#6b7080,1
#d4a824,#804050,1
#d4b1cb,#806b70,21
#d4b1cb,#80706b,23
#d4b1cb,#807b6b,7
#d4b1cb,#d4bab1,92
#d4b1cb,#d4cbb1,66
#d4b1cb,#d4b1ba,29
#d4b1cb,#25232a,37
#d4b1cb,#bab1d4,15
#d4b1cb,#cbb1d4,31
#d4b1cb,#2a2328,18
#d4b1cb,#6b7080,39
#d4b1cb,#6b7b80,1
#d4b1cb,#b1cbd4,2
#d4b1cb,#28232a,31
#d4b1cb,#2a2325,9
#d4b1cb,#b1d4ba,4
#d4b1cb,#2a2523,8
#d4b1cb,#807040,4
#d4b1cb,#804050,1
#d4b1cb,#805040,9
#d4b1cb,#15252a,1
#d4b1cb,#407080,1
#d4b1cb,#2a2823,1
#d4b1cb,#803116,1
#d4b1cb,#d4856a,3
#d4b1cb,#d4ba6a,4
#d4b1cb,#2a151a,2
#07212a,#07102a,3
#07212a,#15252a,8
#07212a,#803116,3
#07212a,#805040,9
#07212a,#d45124,1
#07212a,#d4856a,7
#07212a,#d4bab1,2
#07212a,#152a25,4
#07212a,#807040,5
#07212a,#151a2a,3
#07212a,#d4ba6a,5
#07212a,#232a28,1
#07212a,#80706b,2
#07212a,#407080,2
#07212a,#6b7b80,2
#07212a,#b1cbd4,2
#07212a,#804050,1
#07212a,#2a2515,2
#07212a,#2a2523,3
#07212a,#2a2823,2
#07212a,#807b6b,3
#07212a,#cbd4b1,1
#07212a,#d4cbb1,1
#d4bab1,#2a2515,56
#d4bab1,#2a2823,67
#d4bab1,#805040,351
#d4bab1,#80706b,866
#d4bab1,#807b6b,128
#d4bab1,#d4cbb1,398
#d4bab1,#2a2523,756
#d4bab1,#807040,120
#d4bab1,#d4856a,238
#d4bab1,#07102a,4
#d4bab1,#15252a,7
#d4bab1,#803116,93
#d4bab1,#d45124,19
#d4bab1,#2a151a,70
#d4bab1,#2a2325,82
#d4bab1,#806b70,47
#d4bab1,#d4b1ba,44
#d4bab1,#6b7080,77
#d4bab1,#6b7b80,17
#d4bab1,#b1cbd4,15
#d4bab1,#b1d4ba,13
#d4bab1,#b1d4cb,7
#d4bab1,#bab1d4,32
#d4bab1,#232a28,4
#d4bab1,#6b807b,8
#d4bab1,#25232a,75
#d4bab1,#cbb1d4,33
#d4bab1,#d4ba6a,115
#d4bab1,#2a2328,42
#d4bab1,#806616,18
#d4bab1,#28232a,52
#d4bab1,#70806b,3
#d4bab1,#151a2a,19
#d4bab1,#1a152a,7
#d4bab1,#405080,6
#d4bab1,#2a1525,12
#d4bab1,#407080,6
#d4bab1,#6abad4,4
#d4bab1,#2a0710,11
#d4bab1,#804050,18
#d4bab1,#152a25,5
#d4bab1,#232a25,5
#d4bab1,#2a2107,14
#d4bab1,#cbd4b1,18
#d4bab1,#25152a,6
#d4bab1,#252a23,5
