painting_id,motif,weight
painting::Artists2/Frans Hals/The Regentesses Of The Old Men S Almhouse Haarlem 1664.jpg,group-portraits,1
painting::Artists2/Frans Hals/Regents Of The Old Men S Alms House Haarlem 1664.jpg,group-portraits,1
painting::Artists2/Frans Hals/Regents Of The St Elisabeth S Hospital Haarlem 1641.jpg,group-portraits,1
painting::Artists2/Frans Hals/Officers And Sergeants Of The St Hadrian Civic Guard 1639.jpg,group-portraits,1
painting::Artists2/Frans Hals/The Company Of Captain Reinier Reael And Lieutenant Cornelis Michielsz Blaeuw Known As The 1637 3.jpg,group-portraits,1
painting::Artists2/Frans Hals/The Company Of Captain Reinier Reael And Lieutenant Cornelis Michielsz Blaeuw Known As The 1637 2.jpg,group-portraits,1
painting::Artists2/Frans Hals/The Company Of Captain Reinier Reael And Lieutenant Cornelis Michielsz Blaeuw Known As The 1637 1.jpg,group-portraits,1
painting::Artists2/Frans Hals/The Company Of Captain Reinier Reael And Lieutenant Cornelis Michielsz Blaeuw Known As The 1637.jpg,group-portraits,1
painting::Artists2/Frans Hals/Officers And Sergeants Of The St Hadrian Civic Guard.jpg,group-portraits,1
painting::Artists2/Frans Hals/Banquet Of The Officers Of The St George Civic Guard Company Detail 1.jpg,group-portraits,1
painting::Artists2/Frans Hals/Banquet Of The Officers Of The St George Civic Guard Company Detail.jpg,group-portraits,1
painting::Artists2/Frans Hals/The Rommel Pot Player 1.jpg,group-portraits,1
painting::Artists2/Frans Hals/The Rommel Pot Player.jpg,group-portraits,1
painting::Artists2/Frans Hals/A Banquet Of The Officers Of The St George Militia Company 1616.jpg,group-portraits,1
painting::Artists2/Frans Hals/Shrovetide Revellers The Merry Company.jpg,group-portraits,1
painting::Artists2/Agostino Carracci/Landscape With Bathers 1599.jpg,group-portraits,1
painting::Artists2/Cornelis De Vos/Portrait Of A Lady With A Fan.jpg,female-portraits,1
painting::Artists2/Cornelis De Vos/Allegory Of Earth.jpg,female-portraits,1
painting::Artists2/Cornelis De Vos/Portrait Of A Lady.jpg,female-portraits,1
painting::Artists2/Cornelis De Vos/Elisabeth Or Cornelia Vekemans As A Young Girl.jpg,female-portraits,1
painting::Artists2/Cornelis De Vos/Portrait Of Abraham Grapheus.jpg,female-portraits,1
painting::Artists2/Ivan Nikitin/Tsarina Praskovia Fedorovna Saltikova Widow Of Ivan V.jpg,female-portraits,1
painting::Artists2/Ivan Nikitin/Tzarina Natalia Alekseevna.jpg,female-portraits,1
painting::Artists2/Ivan Nikitin/Anna Petrovna.jpg,female-portraits,1
painting::Artists2/Ivan Nikitin/Crown Princess Elizabeth The Future Empress 1741.jpg,female-portraits,1
painting::Artists2/Ivan Nikitin/Catherine I Of Russia 1717.jpg,female-portraits,1
painting::Artists2/Ivan Nikitin/Tzarina Praskovia Ioanovna 1714.jpg,female-portraits,1
painting::Artists2/Ivan Nikitin/Portrait Of Elizaveta Petrovna As A Child 1713.jpg,female-portraits,1
painting::Artists2/Ivan Nikitin/Tzarina Natalia Alekseevna 1.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Portrait Of Elizabeth Of Russia.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Portrait Of A Mistress Agrippina Leontyevna Apraksina.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Countess Anna Vorontsova.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Portrait Of An Unknown Woman 1790.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Portrait Of Grand Duchess Catherine Alekseevna Future Empress Catherine Ii The Great 1770.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Portrait Of Catherine Ii The Great.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Portrait Of Catherine Ii 1.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Portrait Of Countess M A Rumyantzeva.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Portrait Of Anna Vasiliyevna Buturlina.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Portrait Of Princess T A Trubetzkaya.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Portrait Of Catherine Ii.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Portrait Of Empress Elizaveta Petrovna.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Portrait Of An Unknown Lady.jpg,female-portraits,1
painting::Artists2/Aleksey Antropov/Portrait Of The Lady In Waiting A M Izmaylova.jpg,female-portraits,1
painting::Artists2/Adriaen Van De Velde/A Classical Landscape 1671.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/The Girl With A Pearl Earring.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/A Young Woman Seated At A Virginal A Lady Seated At A Virginal.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Youg Woman Playing A Guitar.jpg,female-portraits,1
