painting_id,motif,weight
painting::Artists2/Johannes Vermeer/A Young Woman Seated At The Virginals A Young Woman Seated At The Virginal.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Lady Writing A Letter With Her Maid.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/A Lady Standing At A Virginal.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/The Lacemaker.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/The Love Letter.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Study Of A Young Woman.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Mistress And Maid Lady With Her Maidservant Holding A Letter.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Girl With The Red Hat.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Girl With A Flute.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/A Lady Writing.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Young Woman With A Water Pitcher.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Woman Holding A Balance 1665.jpg,female-portraits,1
painting::Artists2/Adriaen Van De Velde/Seated Woman With A Basket And Livestock.jpg,female-portraits,1
painting::Artists2/Adriaen Van De Velde/Study Of A Woman In Peasant Dress.jpg,female-portraits,1
painting::Artists2/Adriaen Van De Velde/Seated Woman.jpg,female-portraits,1
painting::Artists2/Adriaen Van De Velde/The Hut Detail 1671.jpg,female-portraits,1
painting::Artists2/Adriaen Van De Velde/The Hut 1671.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Woman With A Lute.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Young Woman With A Pearl Necklace.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Woman Reading A Letter Woman In Blue Reading A Letter.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/The Milkmaid.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/The Glass Of Wine.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Saint Praxedis.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Girl Reading A Letter At An Open Window 1657.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/A Maid Asleep.jpg,female-portraits,1
painting::Artists2/Johannes Vermeer/Diana And Her Companions.jpg,female-portraits,1
painting::Artists2/Francesco Solimena/Portrait Of A Woman.jpg,female-portraits,1
painting::Artists2/Adriaen Van De Velde/Portrait Of A Couple With Two Children And A Nursemaid In A Landscape Detail 1667.jpg,female-portraits,1
painting::Artists2/Adriaen Van De Velde/Milking A Cow 1666.jpg,female-portraits,1
painting::Artists2/Adriaen Van De Velde/Landscape With Shepherds.jpg,female-portraits,1
painting::Artists2/Francesco Solimena/Portrait Of Aurora Sanseverino.jpg,female-portraits,1
painting::Artists2/Gabriel Metsu/Washerwoman.jpg,female-portraits,1
painting::Artists2/Jan Steen/Sick Woman.jpg,female-portraits,1
painting::Artists2/Jan Steen/Drunk Woman.jpg,female-portraits,1
painting::Artists2/Jan Steen/Bathsheba Receiving David S Letter.jpg,female-portraits,1
painting::Artists2/Jan Steen/Arrival Of A Visitor.jpg,female-portraits,1
painting::Artists2/Jan Steen/Sick Woman 1670.jpg,female-portraits,1
painting::Artists2/Jan Steen/Portrait Of Geertruy Gael Second Wife Of Gerrit Gerritsz Schouten 1665.jpg,female-portraits,1
painting::Artists2/Jan Steen/Morning Toilet 1665.jpg,female-portraits,1
painting::Artists2/Jan Steen/Woman At Her Toilet 1663.jpg,female-portraits,1
painting::Artists2/Jan Steen/Woman Playing The Sistrum.jpg,female-portraits,1
painting::Artists2/Gabriel Metsu/The Cook.jpg,female-portraits,1
painting::Artists2/Gabriel Metsu/Woman Figure.jpg,female-portraits,1
painting::Artists2/Gabriel Metsu/Woman Playing A Viola De Gamba.jpg,female-portraits,1
painting::Artists2/Gabriel Metsu/Portrait Of The Artist With His Wife Isabella De Wolff In A Tavern 1661.jpg,female-portraits,1
painting::Artists2/Gabriel Metsu/Lady Seated In A Window.jpg,female-portraits,1
painting::Artists2/Juan De Valdes Leal/Head Of A Woman.jpg,female-portraits,1
painting::Artists2/Jan Siberechts/Pasture With Two Sleeping Shepherdesses.jpg,female-portraits,1
painting::Artists2/Jan Siberechts/The Wager 1679.jpg,female-portraits,1
painting::Artists2/Jan Siberechts/The Ford 1672.jpg,female-portraits,1
painting::Artists2/Jan Siberechts/The Ford 1670.jpg,female-portraits,1
painting::Artists2/Jan Siberechts/Pastoral Scene.jpg,female-portraits,1
