node_id,node_type,label,degree
painting::Artists2/Marevna Marie Vorobieff/Not Identified 4.jpg,painting,Not Identified 4,9
painting::Artists2/Marevna Marie Vorobieff/Not Identified 6.jpg,painting,Not Identified 6,8
painting::Artists2/Marevna Marie Vorobieff/Not Identified 3.jpg,painting,Not Identified 3,7
painting::Artists2/Marevna Marie Vorobieff/Not Identified 2.jpg,painting,Not Identified 2,10
painting::Artists2/Marevna Marie Vorobieff/Not Identified 1.jpg,painting,Not Identified 1,7
painting::Artists2/Marevna Marie Vorobieff/Not Identified.jpg,painting,Not Identified,9
painting::Artists2/Marevna Marie Vorobieff/Hasidic Dance During The Celebration Of Hanukkah 1970.jpg,painting,Hasidic Dance During The Celebration Of Hanukkah 1970,10
painting::Artists2/Marevna Marie Vorobieff/Marika With A Bouquet Of Flowers 1970.jpg,painting,Marika With A Bouquet Of Flowers 1970,6
painting::Artists2/Marevna Marie Vorobieff/Marika With Her Dog And Cats 1968.jpg,painting,Marika With Her Dog And Cats 1968,5
painting::Artists2/Marevna Marie Vorobieff/Lady And The Animals 1966.jpg,painting,Lady And The Animals 1966,5
painting::Artists2/Marevna Marie Vorobieff/Homage To Friends From Montparnasse 1962 1.jpg,painting,Homage To Friends From Montparnasse 1962 1,7
color::#102a07,color,#102a07,17
painting::Artists2/Marevna Marie Vorobieff/Homage To Friends From Montparnasse 1962.jpg,painting,Homage To Friends From Montparnasse 1962,7
painting::Artists2/Marevna Marie Vorobieff/Port Of Stockholm 1962.jpg,painting,Port Of Stockholm 1962,9
painting::Artists2/Marevna Marie Vorobieff/Homage To Friends From Montparnasse 1961.jpg,painting,Homage To Friends From Montparnasse 1961,6
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Diego Rivera 1960.jpg,painting,Portrait Of Diego Rivera 1960,5
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Sergei Diaghilev 1956.jpg,painting,Portrait Of Sergei Diaghilev 1956,5
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Pablo Picasso 1956.jpg,painting,Portrait Of Pablo Picasso 1956,8
color::#6a85d4,color,#6a85d4,28
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Marc Chagall 1956.jpg,painting,Portrait Of Marc Chagall 1956,8
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Ilya Ehrenburg 1956.jpg,painting,Portrait Of Ilya Ehrenburg 1956,7
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Henri Matisse 1956.jpg,painting,Portrait Of Henri Matisse 1956,7
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Amedeo Modigliani 1955.jpg,painting,Portrait Of Amedeo Modigliani 1955,6
painting::Artists2/Marevna Marie Vorobieff/Portrait Of Soutine.jpg,painting,Portrait Of Soutine,10
painting::Artists2/Marevna Marie Vorobieff/Study Of A Dead Crow 1955.jpg,painting,Study Of A Dead Crow 1955,5
painting::Artists2/Marevna Marie Vorobieff/Portrait Of A Young David 1955.jpg,painting,Portrait Of A Young David 1955,5
painting::Artists2/Marevna Marie Vorobieff/Peasant Farmer With His Goat 1953.jpg,painting,Peasant Farmer With His Goat 1953,8
painting::Artists2/Marevna Marie Vorobieff/Peasant Woman With Chicken 1948.jpg,painting,Peasant Woman With Chicken 1948,10
painting::Artists2/Marevna Marie Vorobieff/Two Children 1942.jpg,painting,Two Children 1942,7
painting::Artists2/Marevna Marie Vorobieff/Black Woman With Peppers 1938.jpg,painting,Black Woman With Peppers 1938,3
painting::Artists2/Marevna Marie Vorobieff/Still Life With Bottle And Fruit 1938.jpg,painting,Still Life With Bottle And Fruit 1938,4
painting::Artists2/Marevna Marie Vorobieff/Senegal Solgier 1936.jpg,painting,Senegal Solgier 1936,8
painting::Artists2/Marevna Marie Vorobieff/Self Portrait 1929.jpg,painting,Self Portrait 1929,7
painting::Artists2/Marevna Marie Vorobieff/Self Portrait With Still Life 1917.jpg,painting,Self Portrait With Still Life 1917,9
painting::Artists2/Marevna Marie Vorobieff/Modi Kisling And Chaim Soutine 1914.jpg,painting,Modi Kisling And Chaim Soutine 1914,3
painting::Artists2/Olexandr Archipenko/Nude.jpg,painting,Nude,8
color::#28232a,color,#28232a,17
painting::Artists2/Olexandr Archipenko/Two Nude Female Figures Seated And Bending.jpg,painting,Two Nude Female Figures Seated And Bending,5
painting::Artists2/Olexandr Archipenko/Two Nude Female Figures With A Cloth.jpg,painting,Two Nude Female Figures With A Cloth,3
painting::Artists2/Olexandr Archipenko/Two Figures.jpg,painting,Two Figures,3
painting::Artists2/Olexandr Archipenko/Two Nude Female Figures.jpg,painting,Two Nude Female Figures,3
painting::Artists2/Olexandr Archipenko/Seated Nude 1920.jpg,painting,Seated Nude 1920,3
painting::Artists2/Olexandr Archipenko/Seated Female Nude With Left Leg Bent.jpg,painting,Seated Female Nude With Left Leg Bent,3
painting::Artists2/Olexandr Archipenko/Seated Female Nude With Left Hand On Right Leg.jpg,painting,Seated Female Nude With Left Hand On Right Leg,3
