color_a,color_b,shared_paintings
#d4cbb1,#166680,17
#d4cbb1,#2a0710,18
#d4cbb1,#2a2515,141
#d4cbb1,#24a8d4,5
#d4cbb1,#804050,12
#d4cbb1,#cbd4b1,287
#d4cbb1,#6b7b80,57
#d4cbb1,#706b80,13
#d4cbb1,#7b6b80,7
#d4cbb1,#806b7b,8
#d4cbb1,#6b807b,29
#d4cbb1,#70806b,34
#d4cbb1,#bad4b1,71
#d4cbb1,#6b7080,48
#d4cbb1,#408050,8
#d4cbb1,#708040,42
#d4cbb1,#405080,43
#d4cbb1,#072a21,8
#d4cbb1,#163180,25
#d4cbb1,#28232a,7
#d4cbb1,#504080,6
#d4cbb1,#801631,11
#d4cbb1,#cbb1d4,6
#d4cbb1,#d46a85,2
#d4cbb1,#6a85d4,11
#d4cbb1,#232a28,12
#d4cbb1,#d42451,13
#d4cbb1,#232a25,13
#d4cbb1,#252a23,12
#d4cbb1,#1a152a,4
#d4cbb1,#212a07,12
#d4cbb1,#152a1a,16
#d4cbb1,#152a25,9
#d4cbb1,#bad46a,7
#d4cbb1,#1a2a15,13
#d4cbb1,#2a1525,3
#d4cbb1,#072a10,5
#d4cbb1,#668016,12
#d4cbb1,#508040,16
#d4cbb1,#25152a,1
#2a1a15,#2a2523,91
#2a1a15,#2a2823,42
#2a1a15,#807040,105
#2a1a15,#807b6b,64
#2a1a15,#d4ba6a,87
#2a1a15,#07212a,6
#2a1a15,#151a2a,11
#2a1a15,#15252a,7
#2a1a15,#23252a,8
#2a1a15,#23282a,4
#2a1a15,#166680,10
#2a1a15,#2a151a,55
#2a1a15,#d4a824,55
#2a1a15,#2a1525,11
#2a1a15,#2a2515,99
#2a1a15,#163180,3
#2a1a15,#2a1007,170
#2a1a15,#2a2107,39
#2a1a15,#806616,28
#2a1a15,#803116,121
#2a1a15,#d45124,83
#2a1a15,#d4856a,60
#2a1a15,#2a0710,32
#2a1a15,#2a0721,6
#2a1a15,#d46a85,1
#2a1a15,#6b7080,5
#2a1a15,#6b7b80,7
#2a1a15,#072a21,1
#2a1a15,#252a23,4
#2a1a15,#801631,5
#2a1a15,#24a8d4,4
#2a1a15,#1a152a,7
#2a1a15,#405080,8
#2a1a15,#804050,4
#2a1a15,#b1bad4,8
#2a1a15,#bad4b1,6
#2a1a15,#cbd4b1,21
#2a1a15,#28232a,2
#2a1a15,#708040,13
#2a1a15,#668016,2
#2a1a15,#806b7b,3
#2a1a15,#6b807b,5
#2a1a15,#6a85d4,1
#2a1a15,#25152a,3
#2a1a15,#7b6b80,3
#2a1a15,#508040,2
#2a1a15,#70806b,5
#2a1a15,#b1cbd4,10
#2a1a15,#252a15,9
#2a1a15,#706b80,5
#2a1a15,#232a25,5
#2a1a15,#d4b1ba,12
#2a1a15,#d4b1cb,5
#2a1a15,#d42451,5
#2a1a15,#504080,3
#2a1a15,#b1d4ba,5
#2a1a15,#bad46a,1
#2a1a15,#cbb1d4,3
#2a1a15,#1a2a15,2
#2a1a15,#6b8070,2
#2a1a15,#212a07,1
#2a1a15,#152a25,2
#2a1a15,#232a28,3
#2a1007,#07212a,5
#2a1007,#252a15,10
#2a1007,#2a2107,76
#2a1007,#d4a824,98
#2a1007,#d4ba6a,131
#2a1007,#151a2a,7
#2a1007,#23252a,3
#2a1007,#163180,15
#2a1007,#2a2523,44
#2a1007,#806616,67
#2a1007,#807040,91
#2a1007,#2a0710,56
#2a1007,#2a0721,5
#2a1007,#2a151a,30
#2a1007,#d45124,149
#2a1007,#d42451,9
#2a1007,#25152a,4
#2a1007,#405080,14
#2a1007,#801631,10
#2a1007,#072a21,1
#2a1007,#2a1525,4
#2a1007,#d4856a,99
#2a1007,#15252a,5
