node_id,node_type,label,degree
painting::Artists2/Hans Holbein The Younger/The Spinner.jpg,painting,The Spinner,1
painting::Artists2/Hans Holbein The Younger/Portrait Of A Young Man.jpg,painting,Portrait Of A Young Man,1
painting::Artists2/Hans Holbein The Younger/Portrait Of A Woman Inscribed In Gold Over Red 0Anna Bollein Queen0 Black And Coloured Chalks.jpg,painting,Portrait Of A Woman Inscribed In Gold Over Red 0Anna Bollein Queen0 Black And Coloured Chalks,1
painting::Artists2/Hans Holbein The Younger/Model Of The Dance House In Basel.jpg,painting,Model Of The Dance House In Basel,1
painting::Artists2/Hans Holbein The Younger/Henry Vii Elisabeth Of York Henry Viii And Jane Seymour.jpg,painting,Henry Vii Elisabeth Of York Henry Viii And Jane Seymour,2
painting::Artists2/Hans Holbein The Younger/Desiderius Erasmus.jpg,painting,Desiderius Erasmus,2
painting::Artists2/Hans Holbein The Younger/Death Of The Virgin.jpg,painting,Death Of The Virgin,5
painting::Artists2/Hans Holbein The Younger/Henry Viii And The Barber Surgeons.jpg,painting,Henry Viii And The Barber Surgeons,2
painting::Artists2/Hans Holbein The Younger/Design For Anthony Denny S Clocksalt.jpg,painting,Design For Anthony Denny S Clocksalt,1
painting::Artists2/Hans Holbein The Younger/Sir William Butts.jpg,painting,Sir William Butts,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Dr John Chambers.jpg,painting,Portrait Of Dr John Chambers,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Jane Pemberton.jpg,painting,Portrait Of Jane Pemberton,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Henry Viii 1540.jpg,painting,Portrait Of Henry Viii 1540,2
painting::Artists2/Hans Holbein The Younger/Portrait Of A Man With A Letter And Gloves.jpg,painting,Portrait Of A Man With A Letter And Gloves,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Thomas Howard 1539.jpg,painting,Portrait Of Thomas Howard 1539,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Anne Of Cleves 1539.jpg,painting,Portrait Of Anne Of Cleves 1539,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Edward Vi As A Child.jpg,painting,Portrait Of Edward Vi As A Child,3
painting::Artists2/Hans Holbein The Younger/Death And The Pedlar.jpg,painting,Death And The Pedlar,2
motif::skeletons-and-skulls,motif,skeletons-and-skulls,16
painting::Artists2/Hans Holbein The Younger/Death And The Abbott.jpg,painting,Death And The Abbott,3
motif::priests-and-sacraments,motif,priests-and-sacraments,25
painting::Artists2/Hans Holbein The Younger/Christina Of Denmark.jpg,painting,Christina Of Denmark,1
painting::Artists2/Hans Holbein The Younger/Sir Henry Wyatt.jpg,painting,Sir Henry Wyatt,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Sir Richard Southwell.jpg,painting,Portrait Of Sir Richard Southwell,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Jane Seymour.jpg,painting,Portrait Of Jane Seymour,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Jane Seymour 1537.jpg,painting,Portrait Of Jane Seymour 1537,2
painting::Artists2/Hans Holbein The Younger/Henry Viii And Henry Vii Cartoon For Wall Painting In Whitehall 1537.jpg,painting,Henry Viii And Henry Vii Cartoon For Wall Painting In Whitehall 1537,3
painting::Artists2/Hans Holbein The Younger/Henry Viii.jpg,painting,Henry Viii,2
painting::Artists2/Hans Holbein The Younger/Simon George Of Quocote 1536.jpg,painting,Simon George Of Quocote 1536,1
painting::Artists2/Hans Holbein The Younger/Queen Mary I Tudor 1536.jpg,painting,Queen Mary I Tudor 1536,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Sir Richard Southwell 1536.jpg,painting,Portrait Of Sir Richard Southwell 1536,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Simon George Of Quocote.jpg,painting,Portrait Of Simon George Of Quocote,1
painting::Artists2/Hans Holbein The Younger/Jane Seymour S Cup.jpg,painting,Jane Seymour S Cup,1
painting::Artists2/Hans Holbein The Younger/Jane Seymour 1536.jpg,painting,Jane Seymour 1536,2
painting::Artists2/Hans Holbein The Younger/Derek Berck 1536.jpg,painting,Derek Berck 1536,1
painting::Artists2/Hans Holbein The Younger/Solomon And The Queen Of Sheba.jpg,painting,Solomon And The Queen Of Sheba,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Sir Nicholas Poyntz 1535.jpg,painting,Portrait Of Sir Nicholas Poyntz 1535,1
painting::Artists2/Hans Holbein The Younger/Portrait Of Philipp Melanchthon.jpg,painting,Portrait Of Philipp Melanchthon,2
painting::Artists2/Hans Holbein The Younger/Portrait Of Henry Viii King Of England.jpg,painting,Portrait Of Henry Viii King Of England,2
